EQUIPO,PTS,PJ,PG,PE,PP,GF,GC,DG
Real Madrid,39,16,12,3,1,37,15,+22
Sevilla FC,31,15,9,4,2,25,11,+14
Real Betis,30,16,9,3,4,26,18,+8
Atlético de Madrid,29,15,8,5,2,27,16,+11
Real Sociedad,29,16,8,5,3,19,13,+6
Rayo Vallecano,27,16,8,3,5,24,16,+8
FC Barcelona,23,15,6,5,4,23,17,+6
Valencia CF,22,16,5,7,4,24,22,+2
Athletic Club,21,16,4,9,3,13,11,+2
CA Osasuna,21,16,5,6,5,15,19,-4
RCD Espanyol de Barcelona,20,16,5,5,6,15,15,0
RCD Mallorca,19,16,4,7,5,16,23,-7
Villarreal CF,16,15,3,7,5,16,17,-1
RC Celta,16,16,4,4,8,17,21,-4
Granada CF,15,15,3,6,6,16,23,-7
Elche CF,15,16,3,6,7,15,22,-7
Deportivo Alavés,14,15,4,2,9,12,21,-9
Cádiz CF,12,16,2,6,8,14,30,-16
Getafe CF,11,16,2,5,9,10,19,-9
Levante UD,8,16,0,8,8,13,28,-15
